permaticker,ticker,cik,effective_from,effective_to,relationship_type,source,source_record_id,confidence,mapping_rationale,review_status
105193,RELS,1144879,2002-07-22,2002-09-05,ticker_rename,sharadar_tickers.secfilings,permaticker:105193,high,traded as RELS until renamed 2002-09-06 (ACTIONS tickerchangefrom),auto_high_precedence
105193,FLST,1144879,2002-09-06,2003-12-30,ticker_rename,sharadar_tickers.secfilings,permaticker:105193,high,traded as FLST until renamed 2003-12-31 (ACTIONS tickerchangefrom),auto_high_precedence
105193,FSFY,1144879,2003-12-31,2004-01-29,ticker_rename,sharadar_tickers.secfilings,permaticker:105193,high,traded as FSFY until renamed 2004-01-30 (ACTIONS tickerchangefrom),auto_high_precedence
105193,FLT,1144879,2004-01-30,2008-11-02,ticker_rename,sharadar_tickers.secfilings,permaticker:105193,high,traded as FLT until renamed 2008-11-03 (ACTIONS tickerchangefrom),auto_high_precedence
105193,FLTS,1144879,2008-11-03,2010-03-25,ticker_rename,sharadar_tickers.secfilings,permaticker:105193,high,traded as FLTS until renamed 2010-03-26 (ACTIONS tickerchangefrom),auto_high_precedence
105193,APLD,1144879,2010-03-26,,direct,sharadar_tickers.secfilings,permaticker:105193,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
108442,FBNK,1484769,2019-11-04,2020-05-03,ticker_rename,sharadar_tickers.secfilings,permaticker:108442,high,traded as FBNK until renamed 2020-05-04 (ACTIONS tickerchangefrom),auto_high_precedence
108442,FUBO,1484769,2020-05-04,,direct,sharadar_tickers.secfilings,permaticker:108442,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110006,CARR,1783180,2020-03-19,,direct,sharadar_tickers.secfilings,permaticker:110006,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110037,FEAC.U,1801661,2020-03-06,2020-04-28,ticker_rename,sharadar_tickers.secfilings,permaticker:110037,high,traded as FEAC.U until renamed 2020-04-29 (ACTIONS tickerchangefrom),auto_high_precedence
110037,FEAC,1801661,2020-04-29,2020-12-17,ticker_rename,sharadar_tickers.secfilings,permaticker:110037,high,traded as FEAC until renamed 2020-12-18 (ACTIONS tickerchangefrom),auto_high_precedence
110037,SKLZ,1801661,2020-12-18,2026-06-21,ticker_rename,sharadar_tickers.secfilings,permaticker:110037,high,traded as SKLZ until renamed 2026-06-22 (ACTIONS tickerchangefrom),auto_high_precedence
110037,FIRY,1801661,2026-06-22,,direct,sharadar_tickers.secfilings,permaticker:110037,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110316,BILL,1786352,2019-12-12,,direct,sharadar_tickers.secfilings,permaticker:110316,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110518,PTON,1639825,2019-09-26,,direct,sharadar_tickers.secfilings,permaticker:110518,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110534,DDOG,1561550,2019-09-19,,direct,sharadar_tickers.secfilings,permaticker:110534,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110553,NET,1477333,2019-09-13,,direct,sharadar_tickers.secfilings,permaticker:110553,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
